Tag;Verkaufsmenge;ProduktID;Groesse;OrtID;Typ;KundenID
2024-01-01;2;1071;XL;13;Verkauf;10460
2024-01-01;1;1009;XL;4;Verkauf;19581
2024-01-01;1;1058;M;5;Verkauf;10889
2024-01-01;3;1068;S;10;Verkauf;14845
2024-01-01;5;1001;L;14;Verkauf;17002
2024-01-01;4;1037;XS;17;Verkauf;15493
2024-01-01;5;1078;XL;5;Verkauf;14465
2024-01-01;2;1049;L;6;Verkauf;17887
2024-01-01;1;1019;XL;7;Verkauf;16512
2024-01-01;2;1039;XS;13;Verkauf;17080
2024-01-01;3;1012;L;12;Verkauf;13998
2024-01-01;3;1093;XS;6;Verkauf;15232
2024-01-01;2;1001;L;12;Verkauf;11666
2024-01-01;4;1008;XL;12;Verkauf;10717
2024-01-01;3;1003;S;5;Verkauf;18079
2024-01-01;5;1061;XL;17;Verkauf;17043
2024-01-01;1;1025;XL;20;Verkauf;14894
2024-01-01;1;1099;XL;1;Verkauf;17121
2024-01-01;1;1095;S;20;Verkauf;18899
2024-01-01;3;1039;M;10;Verkauf;17605
2024-01-01;5;1015;XS;15;Verkauf;19237
2024-01-01;2;1025;XS;10;Verkauf;11857
2024-01-01;3;1044;XS;19;Verkauf;18179
2024-01-01;5;1037;XS;1;Verkauf;10121
2024-01-01;4;1079;S;15;Verkauf;15434
2024-01-01;5;1057;L;3;Verkauf;12508
2024-01-01;1;1085;XL;10;Verkauf;14860
2024-01-01;2;1004;L;17;Verkauf;12237
2024-01-01;2;1086;M;10;Verkauf;19733
2024-01-01;4;1059;XL;6;Verkauf;13654
2024-01-01;2;1079;L;18;Verkauf;18015
2024-01-01;2;1009;M;19;Verkauf;10986
2024-01-01;5;1091;M;11;Verkauf;10314
2024-01-01;5;1098;S;17;Verkauf;12086
2024-01-01;3;1046;M;15;Verkauf;11849
2024-01-01;1;1088;XS;16;Verkauf;17798
2024-01-01;5;1054;L;4;Retoure;13549
2024-01-01;2;1038;XL;13;Verkauf;18251
2024-01-01;1;1030;XL;20;Verkauf;18180
2024-01-01;2;1055;XL;2;Verkauf;13273
2024-01-01;2;1054;L;10;Verkauf;19688
2024-01-01;3;1055;S;4;Verkauf;18614
2024-01-01;4;1091;S;1;Verkauf;16224
2024-01-01;5;1029;M;20;Verkauf;10879
2024-01-01;4;1078;S;15;Verkauf;12002
2024-01-01;3;1096;L;2;Verkauf;14865
2024-01-01;3;1055;M;8;Verkauf;13512
2024-01-01;1;1045;XL;4;Verkauf;18589
2024-01-01;4;1029;M;8;Verkauf;14152
2024-01-01;3;1031;M;6;Verkauf;18535
2024-01-01;1;1072;M;3;Verkauf;18477
2024-01-01;2;1036;S;14;Verkauf;15575
2024-01-01;4;1013;M;15;Verkauf;12156
2024-01-01;2;1046;XL;2;Verkauf;15616
2024-01-01;5;1064;L;4;Verkauf;18747
2024-01-01;2;1056;XL;6;Verkauf;15417
2024-01-01;5;1024;XL;8;Verkauf;14936
2024-01-01;4;1070;XS;3;Verkauf;13835
2024-01-01;4;1085;M;20;Verkauf;14086
2024-01-01;5;1043;L;16;Verkauf;18260
2024-01-01;4;1070;S;4;Verkauf;17053
2024-01-01;3;1087;L;1;Verkauf;18423
2024-01-01;4;1078;XL;8;Verkauf;10306
2024-01-01;1;1014;M;10;Verkauf;19663
2024-01-01;1;1053;L;10;Verkauf;19621
2024-01-01;2;1059;S;11;Verkauf;12315
2024-01-01;1;1074;XS;1;Verkauf;10743
2024-01-01;1;1013;L;8;Verkauf;17844
2024-01-01;3;1031;XS;11;Retoure;16565
2024-01-01;2;1011;XS;13;Verkauf;19400
2024-01-01;4;1053;M;3;Verkauf;12739
2024-01-01;4;1078;S;1;Verkauf;14912
2024-01-01;2;1037;XL;6;Verkauf;17185
